type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
video	post_page_126517697403099	126517697403099_1573857905991445	https://www.facebook.com/126517697403099/posts/1573857905991445	"Emina is studying Global Business Informatics on her third semester. With her group  she is doing a project on the gamification of Tinder and how that effects people’s private life.  In this video  you can hear her tell about the project and about student life at ITU."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/23143112_1573857929324776_8639058207433555968_n.jpg?oh=74cbc713578c82f1cf784ff4f0c47d13&oe=5A6B4952	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/23143112_1573857929324776_8639058207433555968_n.jpg?oh=c30394cefd76c7dda980a89252f759a6&oe=5A657170	https://www.facebook.com/ITUniversityCopenhagen/videos/1573857905991445/	facebook.com	2017-10-31T10:56:00+0000	1509447360	"2017-10-31 11:56:00"	3	3	3	0	6	3	1	2	5	0	3	0	0	0	0	0	0
link	post_page_126517697403099	126517697403099_1450576391663883	https://www.facebook.com/126517697403099/posts/1450576391663883	"A new research project at ITU aims to upgrade the digital competencies of Danish organization leaders."	https://external.xx.fbcdn.net/safe_image.php?d=AQBHU9H0vRT1hVZH&w=130&h=130&url=https%3A%2F%2Fen.itu.dk%2F%7E%2Fmedia%2Fdk%2Fom-itu%2Fpresse%2Fnyheder%2F2017%2Fcommunication.jpg&cfs=1&_nc_hash=AQC9YbdXcwTLIZni	https://external.xx.fbcdn.net/safe_image.php?url=https%3A%2F%2Fen.itu.dk%2F%7E%2Fmedia%2Fdk%2Fom-itu%2Fpresse%2Fnyheder%2F2017%2Fcommunication.jpg&_nc_hash=AQDfZk3y4aHXDczS	https://en.itu.dk/about-itu/press/news-from-itu/2017/email-and-skype-meetings-are-forcing-leaders-to-shake-up-their-communication-habits	en.itu.dk	2017-10-30T14:53:02+0000	1509375182	"2017-10-30 15:53:02"	2	0	2	1	3	0	0	0	0	0	2	0	0	0	0	0	0
event	post_page_126517697403099	126517697403099_1446885862032936	https://www.facebook.com/126517697403099/posts/1446885862032936	"ITU Innovators - an organisation for student entrepreneurs - are co-organising this event on blockchain technology next weekend at ITU."	https://scontent.xx.fbcdn.net/v/t1.0-0/c114.0.130.130/p130x130/22688900_1466526460133726_7582789171116455461_n.jpg?oh=0d7c1943ad5e5954e7de5250af3b41bc&oe=5A618DFF	https://scontent.xx.fbcdn.net/v/t31.0-8/c633.0.720.720/p720x720/22791672_1466526460133726_7582789171116455461_o.jpg?oh=a29e06b249d3b719c6203abaf00016c4&oe=5AAAC3B0	https://www.facebook.com/events/1700193160015587/	facebook.com	2017-10-29T19:23:00+0000	1509304980	"2017-10-29 20:23:00"	6	0	6	0	6	0	0	0	0	0	6	0	0	0	0	0	0
status	post_user_126517697403099	126517697403099_1447827548605434	https://www.facebook.com/126517697403099/posts/1447827548605434	"Vi søger en studerende/phd eller lign.med viden om brug af sociale medier  om digital dannelse - som vil undervise vores ungeflygtninge ml 18-25år 1-3 gange her i november / december. Vi betaler naturligvis et honorar. VSK Sprogcenter. Amager  v. Kastrup metrostation"					2017-10-27T14:11:38+0000	1509113498	"2017-10-27 16:11:38"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
video	post_page_126517697403099	126517697403099_1569403349770234	https://www.facebook.com/126517697403099/posts/1569403349770234	"NEW PODCAST ABOUT GAMES  Espen Aarseth is Denmark s first Professor of Game Studies and Head of ITU s Center for Computer Games Research. In our new podcast  he talks to Associate Professor Thore Husfeldt about founding computer games research as an academic discipline  the Games study programme at ITU  and what a game basically is."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/22743633_1569382679772301_7712436072931655680_n.jpg?oh=51be7f6eaa62759521b1a6e8cdc7bff6&oe=5A64DFA4	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/22743633_1569382679772301_7712436072931655680_n.jpg?oh=cca83888f2382c76bda667782f3d7971&oe=5AAE5086	https://www.facebook.com/ITUniversityCopenhagen/videos/1569403349770234/	facebook.com	2017-10-27T09:04:00+0000	1509095040	"2017-10-27 11:04:00"	10	0	11	2	13	0	0	0	0	0	10	1	0	0	0	0	0
link	post_page_126517697403099	126517697403099_1446762642045258	https://www.facebook.com/126517697403099/posts/1446762642045258	"In their thesis project  Phillip Phoelich and Óscar Losada set out to create a software solution that makes hand movements in Virtual Reality more realistic. ✋😎💻"	https://external.xx.fbcdn.net/safe_image.php?d=AQB2x2tE9XoACJ8I&w=130&h=130&url=https%3A%2F%2Fen.itu.dk%2F%7E%2Fmedia%2Fen%2Faboutitu%2Fpress%2Fnews%2Foscar_and_philip_uk_2000x1000.jpg&cfs=1&sx=479&sy=0&sw=1000&sh=1000&_nc_hash=AQAep_-yvCmPkQIm	https://external.xx.fbcdn.net/safe_image.php?d=AQBzijxjRvArcEOT&url=https%3A%2F%2Fen.itu.dk%2F%7E%2Fmedia%2Fen%2Faboutitu%2Fpress%2Fnews%2Foscar_and_philip_uk_2000x1000.jpg&_nc_hash=AQDUFU1RLL8PF_0t	https://en.itu.dk/about-itu/press/news-from-itu/2017/creating-more-realistic-hand-movements-in-vr	en.itu.dk	2017-10-26T08:55:11+0000	1509008111	"2017-10-26 10:55:11"	6	0	6	0	6	0	0	0	0	0	6	0	0	0	0	0	0
link	post_page_126517697403099	126517697403099_1445943738793815	https://www.facebook.com/126517697403099/posts/1445943738793815	"A new research project will investigate how refugees use their mobile phones and other digital devices to navigate geographically and socially during their travel through Europe."	https://external.xx.fbcdn.net/safe_image.php?d=AQBGhQuoStUCWfdK&w=130&h=130&url=https%3A%2F%2Fen.itu.dk%2F%7E%2Fmedia%2Fdk%2Fom-itu%2Fpresse%2Fnyheder%2F2017%2F_geo1655-jpeg.jpeg&cfs=1&sx=499&sy=0&sw=500&sh=500&_nc_hash=AQBRno1xf4voNcYy	https://external.xx.fbcdn.net/safe_image.php?d=AQBJZ_MDDn1m-sNa&url=https%3A%2F%2Fen.itu.dk%2F%7E%2Fmedia%2Fdk%2Fom-itu%2Fpresse%2Fnyheder%2F2017%2F_geo1655-jpeg.jpeg&_nc_hash=AQCZREm25QJuoOZm	https://en.itu.dk/about-itu/press/news-from-itu/2017/diginauts	en.itu.dk	2017-10-25T09:07:52+0000	1508922472	"2017-10-25 11:07:52"	10	0	10	1	11	0	0	0	0	0	10	0	0	0	0	0	0
video	post_page_126517697403099	126517697403099_1445100622211460	https://www.facebook.com/126517697403099/posts/1445100622211460	"Everyone is talking about blockchains  but what the heck are they? WIRED has created a nice explainer video.  Here at ITU  we recently launched a research center on blockchain technology - one of the first of its kind in Europe: https://en.itu.dk/about-itu/press/news-from-itu/2017/new-center-will-turn-denmark-into-a-blockchain-hub  You can also read about a student  Kristoffer  who wrote a thesis about how blockchain technology might help prevent fraud in the food industry: https://en.itu.dk/about-itu/press/news-from-itu/2017/blockchain-can-prevent-fraud-in-the-food-industry  Blockchains are expected to revolutionise a number of industries in the coming years  so it is worth keeping updated on the development and new research on the topic."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/22733949_10155168743298721_6812436512257343488_n.jpg?oh=3edfbdeccd81f5356383d3dec3694411&oe=5AAE8944	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/22733949_10155168743298721_6812436512257343488_n.jpg?oh=c97d3b3869652a2f0e0852e2e7c1008c&oe=5A739CB6	https://www.facebook.com/wired/videos/10155168735133721/	facebook.com	2017-10-24T10:55:13+0000	1508842513	"2017-10-24 12:55:13"	11	0	11	0	11	0	0	0	0	0	11	0	0	0	0	0	0
event	post_user_126517697403099	126517697403099_1444151145639741	https://www.facebook.com/126517697403099/posts/1444151145639741	"Meet us at ITU tomorrow Tuesday 24th!  On Friday we re throwing a world-class hackathon with great prizes  food  and brand new APIs from Nordea and Spar Nord.   Come by for a high five tomorrow 10.30 Tuesday at the canteen and learn more about Open Banking and our last hackathon of 2017.   Can t wait? Have a look here http://openbanking.rainmaking.io/"	https://scontent.xx.fbcdn.net/v/t1.0-0/c65.0.130.130/p130x130/19894841_1876388409279134_9110549726588327651_n.jpg?oh=95ac363674035f0fbf7990d4ab40ac21&oe=5AA7DD6D	https://scontent.xx.fbcdn.net/v/t31.0-8/q81/c360.0.720.720/p720x720/19983865_1876388409279134_9110549726588327651_o.jpg?oh=22a2c07519760abc2cd55ff2eb690b21&oe=5AA6FF79	https://www.facebook.com/events/1770283676596577/	facebook.com	2017-10-23T09:11:25+0000	1508749885	"2017-10-23 11:11:25"	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
link	post_page_126517697403099	126517697403099_1441819872539535	https://www.facebook.com/126517697403099/posts/1441819872539535	"The tech media Siliconrepublic.com has created a list of Copenhagen based startups to watch in 2018. The list features several startups from ITU. 😀  Monsenso is an m-health solution to help optimise the treatment of mental disorders  founded in 2013 by Jakob Bardram and Mads Frost as a spin-out of an EU research project. Mads Frost is also a mentor and advisor in our Startup Programme for student entrepreneurs at ITU.  deemly  founded by Sara Green Brodersen and Jens Farvig Thomsen based on Sara s thesis from ITU in 2016  is a reputation and social verification tool for the sharing economy.  Tonsser is an app and a football community with almost 500.00 users in five countries  founded by ITU students Peter Holm and Simon Hjære in 2014.  We are very proud of all these entrepreneurs and their great initiatives coming out of our university! 🙌"	https://external.xx.fbcdn.net/safe_image.php?d=AQDktjYCMdhb1EG2&w=130&h=130&url=https%3A%2F%2Fwww.siliconrepublic.com%2Fwp-content%2Fuploads%2F2017%2F10%2FCopenhagen_startups_shutterstock.jpg&cfs=1&_nc_hash=AQC88fH4zDfK2iTZ	https://external.xx.fbcdn.net/safe_image.php?d=AQA2KiH-08swMSpc&url=https%3A%2F%2Fwww.siliconrepublic.com%2Fwp-content%2Fuploads%2F2017%2F10%2FCopenhagen_startups_shutterstock.jpg&_nc_hash=AQARhqHtONzYtZyk	https://www.siliconrepublic.com/start-ups/copenhagen-startups-2018	siliconrepublic.com	2017-10-22T18:00:00+0000	1508695200	"2017-10-22 20:00:00"	6	0	6	1	7	0	0	0	0	0	6	0	0	0	0	0	0
