day	posts	likes	reactions	comments	shares
2017-08-02	1	22	22	0	1
2017-08-03	1	5	5	0	0
2017-08-04	0	0	0	0	0
2017-08-05	0	0	0	0	0
2017-08-06	0	0	0	0	0
2017-08-07	1	18	18	0	1
2017-08-08	0	0	0	0	0
2017-08-09	0	0	0	0	0
2017-08-10	1	32	32	0	1
2017-08-11	1	2	2	0	0
2017-08-12	0	0	0	0	0
2017-08-13	0	0	0	0	0
2017-08-14	0	0	0	0	0
2017-08-15	0	0	0	0	0
2017-08-16	0	0	0	0	0
2017-08-17	1	10	11	0	0
2017-08-18	1	0	0	0	0
2017-08-19	0	0	0	0	0
2017-08-20	1	7	7	0	4
2017-08-21	1	56	58	0	0
2017-08-22	0	0	0	0	0
2017-08-23	1	27	34	0	0
2017-08-24	1	43	43	0	0
2017-08-25	1	4	4	0	0
2017-08-26	0	0	0	0	0
2017-08-27	1	8	10	0	0
2017-08-28	0	0	0	0	0
2017-08-29	1	65	65	2	3
2017-08-30	2	8	9	0	0
2017-08-31	0	0	0	0	0
2017-09-01	1	2	2	0	0
2017-09-02	0	0	0	0	0
2017-09-03	1	10	11	0	0
2017-09-04	0	0	0	0	0
2017-09-05	2	8	9	0	3
2017-09-06	0	0	0	0	0
2017-09-07	1	12	14	0	0
2017-09-08	0	0	0	0	0
2017-09-09	0	0	0	0	0
2017-09-10	0	0	0	0	0
2017-09-11	0	0	0	0	0
2017-09-12	1	2	2	0	1
2017-09-13	0	0	0	0	0
2017-09-14	1	19	19	0	2
2017-09-15	0	0	0	0	0
2017-09-16	0	0	0	0	0
2017-09-17	0	0	0	0	0
2017-09-18	0	0	0	0	0
2017-09-19	0	0	0	0	0
2017-09-20	1	29	30	1	1
2017-09-21	1	4	4	0	0
2017-09-22	0	0	0	0	0
2017-09-23	0	0	0	0	0
2017-09-24	0	0	0	0	0
2017-09-25	1	7	7	0	0
2017-09-26	0	0	0	0	0
2017-09-27	0	0	0	0	0
2017-09-28	0	0	0	0	0
2017-09-29	0	0	0	0	0
2017-09-30	0	0	0	0	0
2017-10-01	1	3	3	0	0
2017-10-02	1	20	20	2	0
2017-10-03	0	0	0	0	0
2017-10-04	1	32	32	6	4
2017-10-05	1	20	20	0	1
2017-10-06	0	0	0	0	0
2017-10-07	0	0	0	0	0
2017-10-08	1	18	19	0	3
2017-10-09	0	0	0	0	0
2017-10-10	0	0	0	0	0
2017-10-11	0	0	0	0	0
2017-10-12	0	0	0	0	0
2017-10-13	0	0	0	0	0
2017-10-14	0	0	0	0	0
2017-10-15	0	0	0	0	0
2017-10-16	1	0	0	0	0
2017-10-17	1	5	5	0	1
2017-10-18	3	64	67	0	0
2017-10-19	3	11	11	0	0
2017-10-20	1	2	3	0	0
2017-10-21	0	0	0	0	0
2017-10-22	1	6	6	0	1
2017-10-23	1	1	1	0	0
2017-10-24	1	11	11	0	0
2017-10-25	1	10	10	0	1
2017-10-26	1	6	6	0	0
2017-10-27	2	10	11	0	2
2017-10-28	0	0	0	0	0
2017-10-29	1	6	6	0	0
2017-10-30	1	2	2	0	1
2017-10-31	1	3	3	3	0
