type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb
link	post_page_20446254070	20446254070_10155225429894071	https://www.facebook.com/20446254070/posts/10155225429894071	"The young New York Knicks rookie stood up to LeBron James."	https://external.xx.fbcdn.net/safe_image.php?d=AQDC2MbtSU5i2TtD&w=130&h=130&url=http%3A%2F%2Fstatic6.businessinsider.com%2Fimage%2F5a0a48853dbef4cc1d8b5a69-1190-625%2Fknicks-19-year-old-rookie-at-the-center-of-knicks-lebron-james-feud-shoved-james-and-caused-a-minor-fracas.jpg&cfs=1&sx=334&sy=0&sw=595&sh=595&_nc_hash=AQDgYvPmGU54SgS1	https://external.xx.fbcdn.net/safe_image.php?d=AQBUguC0RfQqzD9C&url=http%3A%2F%2Fstatic6.businessinsider.com%2Fimage%2F5a0a48853dbef4cc1d8b5a69-1190-625%2Fknicks-19-year-old-rookie-at-the-center-of-knicks-lebron-james-feud-shoved-james-and-caused-a-minor-fracas.jpg&_nc_hash=AQCC9wQtvj6mKfOh	http://www.businessinsider.com/frank-ntilikina-shoves-lebron-james-knicks-cavs-2017-11	businessinsider.com	2017-11-14T14:10:00+0000	1510668600	"2017-11-14 15:10:00"	31	0	39	1	40
link	post_page_20446254070	20446254070_10155225517419071	https://www.facebook.com/20446254070/posts/10155225517419071	"The American Bar Association determined that he is not qualified for the lifetime judicial appointment."	https://external.xx.fbcdn.net/safe_image.php?d=AQBBJfjpqCnnde_2&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a0a2be4c3453d923f9a36e4%2Ff6779a1c333e1dd9285d9727fb2081b63f4f71d2_ebde045c4b8dc5b7b06e98563052f2604a9e7d5e_facebook&cfs=1&sx=304&sy=0&sw=595&sh=595&_nc_hash=AQDmmbFxcaxmTADG	https://external.xx.fbcdn.net/safe_image.php?d=AQCAnfGLyekFbCaR&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a0a2be4c3453d923f9a36e4%2Ff6779a1c333e1dd9285d9727fb2081b63f4f71d2_ebde045c4b8dc5b7b06e98563052f2604a9e7d5e_facebook&_nc_hash=AQAeo5VkcRluPCfX	http://read.bi/2zBKNiJ	read.bi	2017-11-14T14:00:46+0000	1510668046	"2017-11-14 15:00:46"	13	5	31	6	42
link	post_page_20446254070	20446254070_10155225500039071	https://www.facebook.com/20446254070/posts/10155225500039071	"Fields of dreams."	https://external.xx.fbcdn.net/safe_image.php?d=AQDDi4eU18htm4CY&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a0a092bc3453df04d056188%2Fc87a24b09d94ed17f238d43e626c598fae30e8c7_f021eef569c835a966f74d1a7db946496f7469e3_facebook&cfs=1&_nc_hash=AQDVWyEjW-edajPE	https://external.xx.fbcdn.net/safe_image.php?d=AQBrXMLZ8o8H_XuO&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a0a092bc3453df04d056188%2Fc87a24b09d94ed17f238d43e626c598fae30e8c7_f021eef569c835a966f74d1a7db946496f7469e3_facebook&_nc_hash=AQBh0P0GbbIL6U-0	http://read.bi/2zAtnmw	read.bi	2017-11-14T13:50:05+0000	1510667405	"2017-11-14 14:50:05"	14	8	18	1	27
link	post_page_20446254070	20446254070_10155225486584071	https://www.facebook.com/20446254070/posts/10155225486584071	"The Porsche Panamera takes the trophy for 2017."	https://external.xx.fbcdn.net/safe_image.php?d=AQBJRXT_Mn7EsTNU&w=130&h=130&url=http%3A%2F%2Fstatic2.businessinsider.com%2Fimage%2F5a09e85735876efc0e8b59a2-1190-625%2Fthe-porsche-panamera-is-business-insiders-2017-car-of-the-year.jpg&cfs=1&_nc_hash=AQC0CjRL3JBJfjJY	https://external.xx.fbcdn.net/safe_image.php?d=AQCu7AMqppqasqSy&url=http%3A%2F%2Fstatic2.businessinsider.com%2Fimage%2F5a09e85735876efc0e8b59a2-1190-625%2Fthe-porsche-panamera-is-business-insiders-2017-car-of-the-year.jpg&_nc_hash=AQAWcAtfQ5_qs3CU	http://www.businessinsider.com/porsche-panamera-is-business-insider-2017-car-of-the-year-2017-11	businessinsider.com	2017-11-14T13:42:54+0000	1510666974	"2017-11-14 14:42:54"	67	4	76	4	84
link	post_page_20446254070	20446254070_10155225482414071	https://www.facebook.com/20446254070/posts/10155225482414071	"Trump Jr. released his  entire chain of messages  with Wikileaks."	https://external.xx.fbcdn.net/safe_image.php?d=AQDNK7EMVywt7f07&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a0aedd709df6ada4f5b30b0%2F732adbe7e9485acff7d0e4b7a628daddba1c1b63_330a1fa32d4ed348a402b55c3f3b52fa19cfdbcc_facebook&cfs=1&sx=236&sy=0&sw=512&sh=512&_nc_hash=AQCHeKtR6VDgsEVO	https://external.xx.fbcdn.net/safe_image.php?d=AQBSVk02U3fRNR_G&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a0aedd709df6ada4f5b30b0%2F732adbe7e9485acff7d0e4b7a628daddba1c1b63_330a1fa32d4ed348a402b55c3f3b52fa19cfdbcc_facebook&_nc_hash=AQCSuhKeUtwFPZOQ	http://read.bi/2AEmpJU	read.bi	2017-11-14T13:40:01+0000	1510666801	"2017-11-14 14:40:01"	15	5	26	3	34
link	post_page_20446254070	20446254070_10155225474679071	https://www.facebook.com/20446254070/posts/10155225474679071	"It s all about smell."	https://external.xx.fbcdn.net/safe_image.php?d=AQAvA4Mo4dNsj2Hk&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a0a18d07bcaa4387e631016%2Fa54189b3ebcf099b9f17ce93133f2721c665156f_ebccf8359a238135e848253b65fb374f1bdf869d_facebook&cfs=1&sx=438&sy=0&sw=595&sh=595&_nc_hash=AQCvBXfmuZ2EWUnk	https://external.xx.fbcdn.net/safe_image.php?d=AQBp2gfproPiCJSY&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a0a18d07bcaa4387e631016%2Fa54189b3ebcf099b9f17ce93133f2721c665156f_ebccf8359a238135e848253b65fb374f1bdf869d_facebook&_nc_hash=AQBQmwkT30RgcH0u	http://read.bi/2yBpGcc	read.bi	2017-11-14T13:35:01+0000	1510666501	"2017-11-14 14:35:01"	9	0	11	2	13
link	post_page_20446254070	20446254070_10155225464189071	https://www.facebook.com/20446254070/posts/10155225464189071	"Your Kindergarten teacher taught you more than how to recite the alphabet."	https://external.xx.fbcdn.net/safe_image.php?d=AQDSjEF7Rp6MjLZO&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a09fccb09df6aaa164ede19%2F9b1bfa85a185efb0696ab97b2de3661fc326bc65_f232c7653a79e34767c0fda07e8baee77ebb3cab_facebook&cfs=1&sx=288&sy=0&sw=595&sh=595&_nc_hash=AQC2AUyedtP-nbmJ	https://external.xx.fbcdn.net/safe_image.php?d=AQBy0t9XuRRDY4o9&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a09fccb09df6aaa164ede19%2F9b1bfa85a185efb0696ab97b2de3661fc326bc65_f232c7653a79e34767c0fda07e8baee77ebb3cab_facebook&_nc_hash=AQAXiDhwsVWPoT_m	http://read.bi/2idj7Xb	read.bi	2017-11-14T13:30:08+0000	1510666208	"2017-11-14 14:30:08"	24	1	27	14	42
link	post_page_20446254070	20446254070_10155225439904071	https://www.facebook.com/20446254070/posts/10155225439904071	"There are two beers available:  light  or  dark. "	https://external.xx.fbcdn.net/safe_image.php?d=AQC02eoJgxc6nzhO&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a09ffbb004df90629fe8841%2Fa4396ba9a429f7060a638bff2aaf781eeadfdaa9_b516392f6ecb51e61041b7d873f217ce9908cc2f_facebook&cfs=1&sx=344&sy=0&sw=595&sh=595&_nc_hash=AQBT3EcmABKD-dvs	https://external.xx.fbcdn.net/safe_image.php?d=AQBI3B7_y0PMmk9S&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a09ffbb004df90629fe8841%2Fa4396ba9a429f7060a638bff2aaf781eeadfdaa9_b516392f6ecb51e61041b7d873f217ce9908cc2f_facebook&_nc_hash=AQA09pVHCWSaZzEe	http://read.bi/2yZiz1z	read.bi	2017-11-14T13:20:02+0000	1510665602	"2017-11-14 14:20:02"	80	19	90	13	122
video	post_page_20446254070	20446254070_10155225326164071	https://www.facebook.com/20446254070/posts/10155225326164071	"This economist thinks a return to left-wing politics could help the UK s economy."	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/23519440_2418928728332823_4841707428665884672_n.jpg?oh=cb05689c762275c56077a645d4f26fcf&oe=5A6322F0	https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/23519440_2418928728332823_4841707428665884672_n.jpg?oh=70a8c22201f945b5ef0cd4490d98961b&oe=5AAF5DD2	https://www.facebook.com/BusinessInsiderUK/videos/2418923301666699/	facebook.com	2017-11-14T13:20:00+0000	1510665600	"2017-11-14 14:20:00"	14	4	20	0	24
link	post_page_20446254070	20446254070_10155225423264071	https://www.facebook.com/20446254070/posts/10155225423264071	"You never forget your first Tesla."	https://external.xx.fbcdn.net/safe_image.php?d=AQCvJmO8GKfSgFLK&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a09fd1f09df6a4f184ede15%2Fc8f978f4968c75a7ca98ebc26dddeb50a3d3958e_39d5aca34a88e2b33fcfe5eb225aa0b612a6b747_facebook&cfs=1&sx=0&sy=0&sw=595&sh=595&_nc_hash=AQCVdeRTgP5gEryo	https://external.xx.fbcdn.net/safe_image.php?url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a09fd1f09df6a4f184ede15%2Fc8f978f4968c75a7ca98ebc26dddeb50a3d3958e_39d5aca34a88e2b33fcfe5eb225aa0b612a6b747_facebook&_nc_hash=AQBnyAnQXN75IoG2	http://read.bi/2ACDmEx	read.bi	2017-11-14T13:10:00+0000	1510665000	"2017-11-14 14:10:00"	13	1	18	1	20
